Gün,Ay,Yıl,Anket Şirketi,Chandler,Joey,Kararsız,Fark,Orneklem Kümesi
27,12,2022,Yöneylem,42.5,45.2,12.3,2.7,2400
22,12,2022,Area,37.6,38.6,23.8,1,2004
19,12,2022,Artıbir,39.4,43.6,17,4.2,1500
15,12,2022,MetroPOLL,40.1,44.9,15,4.8,2077
7,12,2022,Global & Akademetre,44,34.3,21.7,9.7,1000
1,12,2022,Avrasya,37.5,48.2,14.3,10.7,2612
15,12,2022,TEAM,40.6,40.9,18.5,0.3,–
15,12,2022,SAROS,49.7,50.3,–,0.6,11106
25,11,2022,Artıbir,38.2,43.8,18,5.6,1500
25,11,2022,Yöneylem,42.8,43.3,13.9,0.5,2400
17,11,2022,MetroPOLL,44.5,39.4,16,5.1,2122
2,11,2022,Avrasya,38.4,47.9,13.7,9.5,2560
17,11,2022,TEAM,38.6,39.1,22.3,0.5,–
17,11,2022,SAROS,40.2,41,18.8,0.8,11028
26,10,2022,Yöneylem,40.7,43.6,15.7,2.9,2400
16,10,2022,MetroPOLL,45.4,41.3,13.2,4.1,2145
14,10,2022,Artıbir,38.5,43.4,18.1,4.9,1500
9,10,2022,ASAL,42.8,38.8,18.4,4,2312
27,9,2022,Yöneylem,40.6,46.8,12.6,6.2,2400
18,9,2022,MetroPOLL,44.9,43.9,11.2,1,2119
17,9,2022,Area,31.8,36.5,31.6,4.7,3123
9,9,2022,Artıbir,38.2,48.1,13.7,9.9,1500
1,9,2022,KONDA,35,37,28,2,–
25,8,2022,SAROS,41.3,39,19.7,2.3,2025
15,8,2022,Aksoy,46.4,53.6,–,7.2,1067
4,8,2022,Yöneylem,38,48.7,13.3,10.7,2403
2,8,2022,Avrasya,38,44.7,18.3,6.7,2000
4,8,2022,MetroPOLL,41.4,47.7,10.9,6.3,1717
2,8,2022,Avrasya,35.8,56.5,7.7,20.7,2410
13,7,2022,Areda Survey,47.9,42.4,9.7,5.5,3872
2,7,2022,HBS,56,44,–,12,–
15,7,2022,MetroPOLL,42.7,45.4,11.9,2.7,2091
26,6,2022,Gezici,46.8,53.2,–,6.4,2680
25,6,2022,SAROS,37.6,36.5,25.9,1.1,1672
26,6,2022,Avrasya,37.9,54.1,8,16.2,1460
15,6,2022,BUPAR,31.2,43.4,25.4,12.2,2986
12,6,2022,Yöneylem,37.5,46.6,15.9,9.1,2704
10,6,2022,Objektif,38.9,51.7,9.4,12.8,9960
1,6,2022,MetroPOLL,39.8,46.1,14.1,6.3,2123
28,5,2022,ASAL,36.8,35.1,28.1,1.7,3000
23,5,2022,KONDA,34,31,35,1,–
15,5,2022,Artıbir,38.4,47.6,14,9.2,1500
6,5,2022,Avrasya,39.1,51.5,9.4,12.4,1500
30,4,2022,Artıbir,39.7,48.2,12.1,8.5,1500
8,5,2022,Yöneylem,36.5,44.9,18.7,8.4,2400
3,5,2022,ASAL,43.1,32.4,24.5,10.7,2400
3,5,2022,Avrasya,40.2,51.3,8.5,11.1,2460
17,4,2022,TEAM,37,39.8,23.1,2.8,–
9,4,2022,MetroPOLL,40.5,42.7,16.8,2.2,–
2,4,2022,SAROS,48.8,51.2,–,2.4,2987
26,3,2022,MetroPOLL,42.5,43.3,13.5,0.8,2164
4,3,2022,ASAL,42.3,33,24.7,9.3,2100
5,2,2022,Sosyo Politik,38.1,40.5,21.4,2.4,2010
27,1,2022,Avrasya,41.9,46.8,11.3,4.9,2490
11,1,2022,Yöneylem,38.6,40.1,21.3,1.5,2488
5,2,2022,İEA,40,42,18,2,1500
27,1,2022,Avrasya,40,60,–,20,1860
12,1,2022,Avrasya,42,53.9,4.1,11.9,1260
01,01,2021,InsightPOLL,38.5,44.0,17.5,6.5,1500
15,01,2021,StatsTRACK,42.2,40.8,17.0,1.4,2100
01,02,2021,TrendMETRIX,39.9,42.1,18.0,2.2,2500
15,02,2021,DataDYNAMICS,43.6,38.9,17.5,4.7,1900
01,03,2021,InsightGLOBE,37.5,45.5,17.0,8.0,1800
15,03,2021,PulseMATRIX,41.8,41.2,16.7,0.9,2200
01,04,2021,SurveySPOT,45.3,36.7,18.0,8.6,1200
15,04,2021,DataSTREAM,39.4,44.6,15.8,5.2,2000
01,05,2021,InsightEDGE,38.0,46.8,14.5,8.8,2600
15,05,2021,TrendTRACK,41.8,42.5,15.7,0.7,2400
01,06,2021,GlobalPOLL,40.5,43.0,16.5,3.5,1700
15,06,2021,OpinionMETRE,42.0,41.5,16.5,0.5,2300
01,07,2021,SocialSURVEY,44.5,37.5,18.0,7.0,1400
15,07,2021,PublicVIEW,40.2,42.8,17.0,2.6,2000
01,08,2021,TrendPULSE,39.0,44.0,17.0,5.0,1800
15,08,2021,DataMOTION,42.5,40.5,17.0,2.0,2100
01,09,2021,InsightINSIGHT,37.8,45.2,16.5,7.4,1600
15,09,2021,PulseVIEW,41.5,41.0,17.5,0.5,2200
01,10,2021,SurveySENSO,45.0,37.0,18.0,8.0,1200
15,10,2021,DataVIEW,39.8,43.2,16.5,3.4,1900
01,11,2021,SocialPOLL,40.5,43.5,16.0,3.0,1700
15,11,2021,PublicMETRICS,42.8,41.2,16.0,1.6,2300
01,12,2021,TrendSENSO,44.0,38.0,18.0,6.0,1500
01,01,2020,InsightPOLL,39.0,43.0,18.0,4.0,1600
15,01,2020,StatsTRACK,42.5,40.0,17.5,2.5,2000
01,02,2020,TrendMETRIX,40.2,42.8,17.0,2.2,2400
15,02,2020,DataDYNAMICS,44.0,38.0,18.0,6.0,1800
01,03,2020,InsightGLOBE,37.8,45.2,16.5,7.4,1600
15,03,2020,PulseMATRIX,42.1,41.9,16.0,1.9,2200
01,04,2020,SurveySPOT,46.0,36.0,18.0,10.0,1200
15,04,2020,DataSTREAM,39.2,43.8,16.5,4.6,1900
01,05,2020,InsightEDGE,38.5,45.5,16.0,7.0,1700
15,05,2020,TrendTRACK,42.0,42.5,15.5,0.5,2300
01,06,2020,GlobalPOLL,41.0,43.5,15.5,2.5,1500
15,06,2020,OpinionMETRE,43.2,39.8,17.0,3.4,2100
01,07,2020,SocialSURVEY,45.5,37.5,17.0,8.0,1400
15,07,2020,PublicVIEW,40.8,42.2,17.0,1.8,2000
01,08,2020,TrendPULSE,38.9,44.0,17.0,5.1,1800
15,08,2020,DataMOTION,42.8,41.2,16.0,1.6,2200
01,09,2020,InsightINSIGHT,37.0,45.0,18.0,8.0,1600
15,09,2020,PulseVIEW,41.5,41.0,17.5,0.5,2200
01,10,2020,SurveySENSO,45.0,37.0,18.0,8.0,1200
15,10,2020,DataVIEW,40.0,44.0,16.0,4.0,1900
01,11,2020,SocialPOLL,40.5,43.5,16.0,3.0,1700
15,11,2020,PublicMETRICS,43.5,39.5,17.0,4.0,2300
01,12,2020,TrendSENSO,43.0,39.0,18.0,4.0,1500
01,01,2019,InsightPOLL,39.5,42.5,18.0,4.5,1700
15,01,2019,StatsTRACK,43.0,39.0,18.0,4.0,2200
01,02,2019,TrendMETRIX,40.5,42.0,17.5,2.5,2600
15,02,2019,DataDYNAMICS,44.5,37.5,18.0,7.0,1900
01,03,2019,InsightGLOBE,38.0,44.5,17.5,6.5,1800
15,03,2019,PulseMATRIX,41.5,41.5,16.5,1.5,2400
01,04,2019,SurveySPOT,46.5,35.5,18.0,11.0,1300
15,04,2019,DataSTREAM,39.0,44.0,16.5,4.0,2000
01,05,2019,InsightEDGE,39.0,44.0,17.0,4.0,1900
15,05,2019,TrendTRACK,42.5,41.5,15.0,1.0,2500
01,06,2019,GlobalPOLL,41.5,43.0,15.5,2.5,1600
15,06,2019,OpinionMETRE,43.5,38.5,18.0,5.0,2200
01,07,2019,SocialSURVEY,46.0,36.0,17.5,9.5,1500
15,07,2019,PublicVIEW,41.0,42.5,16.5,1.5,2100
01,08,2019,TrendPULSE,39.5,43.5,17.0,4.0,1900
15,08,2019,DataMOTION,43.0,40.0,17.0,3.0,2300
01,09,2019,InsightINSIGHT,37.5,45.0,17.5,7.5,1700
15,09,2019,PulseVIEW,41.8,41.2,17.0,1.8,2400
01,10,2019,SurveySENSO,45.2,37.8,18.0,7.4,1300
15,10,2019,DataVIEW,40.8,42.2,16.5,1.8,2000
01,11,2019,SocialPOLL,40.5,43.5,16.0,3.0,1800
15,11,2019,PublicMETRICS,43.0,40.5,16.5,3.5,2400
01,12,2019,TrendSENSO,43.5,39.5,17.0,4.0,1600
